Headword,First Element,Definition,Part of Speech,Semantic Group,Frequency Rank
agitō -āre,agito,drive,Verb: 1st Conjugation,Verbs of Compelling/Directing,578
āgmen -minis n.,agmen,line of march,Noun: 3rd Declension,War and Peace,358
agō agere ēgī āctum,ago,"drive, do, act",Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,69
aiō,aio,"say, affirm, say yes; ut āiunt: as they say",Verb: Irregular,Speech/Oratory,406
albus -a -um,albus,white,Adjective: 1st and 2nd Declension,Vision,925
aliēnus -a -um,alienus,"foreign, strange",Adjective: 1st and 2nd Declension,Geography,367
aliquandō,aliquando,"at some time, at length",Adverb,Time,763
aliquis -quae -quod,aliquis,"some, any; si quis, si quid: anyone who, anything that",Pronoun,Pronouns/Interrogatives,77
aliter,aliter,"otherwise, differently",Adverb,Conjunctions/Adverbs,782
alius -a -ud,alius,"other, another; ālias: at another time",Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,37
alō alere aluī alitum,alo,nourish,Verb: 3rd Conjugation -ō,Life and Being,817
alter altera alterum,alter,other of two,Adjective: 1st and 2nd Declension,Measurement,148
altus -a -um,altus,"high, lofty; deep",Adjective: 1st and 2nd Declension,Geography,159
amīcitia -ae f.,amicitia,friendship,Noun: 1st Declension,Social Life,690
amīcus -a -um,amicus,friendly; (as subst.) friend,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,198
āmittō -mittere -mīsī -missum,amitto,"let go, send away",Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,486
amnis -is m.,amnis,"river, torrent",Noun: 3rd Declension,Earth and Water,467
amō -āre,amo,to love; amāns -ntis m./f.: lover,Verb: 1st Conjugation,Love,219
amor -ōris m.,amor,love,Noun: 3rd Declension,Love,116
amplus -a -um,amplus,"large, spacious",Adjective: 1st and 2nd Declension,Measurement,915
an,an,or (in questions); utrum ... an: whether ... or,Conjunction,Conjunctions/Adverbs,94
anima -ae f.,anima,"breath, spirit",Noun: 1st Declension,Life and Being,493
animal -ālis n.,animal,"a living being, an animal",Noun: 3rd Declension,Animals/Plants,547
animus -ī m.,animus,"spirit, mind",Noun: 2nd Declension,Life and Being,40
annus -ī m.,annus,year,Noun: 2nd Declension,Lengths of Time,167
ante,ante,"before, in front of (adv. and prep. + acc.)",Preposition,Time,112
antequam,antequam,before,Conjunction,Time,787
antīquus -a -um,antiquus,"ancient, old-time, former",Adjective: 1st and 2nd Declension,Lengths of Time,617
aperiō aperīre aperuī apertum,aperio,open,Verb: 4th Conjugation,The House,837
appāreō -ēre -uī,appareo,"appear, become visible",Verb: 2nd Conjugation,Vision,830
appellō -pellāre,appello,"call, address, name",Verb: 1st Conjugation,Social Life,700
aptus -a -um,aptus,"fit, suitable",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,916
apud,apud,"near, in the presence of (+acc.)",Preposition,Place,205
aqua -ae f.,aqua,water,Noun: 1st Declension,Earth and Water,272
āra -ae f.,ara,altar,Noun: 1st Declension,Religion,374
arbitror arbitrārī arbitrātus sum,arbitror,"consider, think",Verb: Deponent,Education/Knowledge,963
arbor arboris f.,arbor,tree,Noun: 3rd Declension,Animals/Plants,468
ārdeō ārdēre ārsī ārsum,ardeo,"blaze, glow; be eager",Verb: 2nd Conjugation,Air and Fire,618
argentum -ī n.,argentum,"silver, money",Noun: 2nd Declension,Business/Money,849
arma -ōrum n. pl.,arma,"arms, weapons",Noun: 2nd Declension,War and Peace,98
ars artis f.,ars,skill,Noun: 3rd Declension,Education/Knowledge,258
arvum -ī n.,arvum,"ploughed land, field",Noun: 2nd Declension,Animals/Plants,637
arx arcis f.,arx,"citadel, castle; summit",Noun: 3rd Declension,The City,638
ascendō -ere -scendī -scēnsum,ascendo,"climb up, ascend",Verb: 3rd Conjugation -ō,Travel,990
aspiciō -ere -spēxī -spectum,aspicio,"look to or at, behold",Verb: 3rd Conjugation -iō,Vision,483
adsum adesse affuī,adsum,be present,Verb: Irregular,Place,279
astrum -ī n.,astrum,star; constellation,Noun: 2nd Declension,Air and Fire,685
at,at,"but, but yet",Conjunction,Conjunctions/Adverbs,74
atque,atque,"and in addition, and also, and; (after comparatives) than; simul atque, as soon as; → ac",Conjunction,Conjunctions/Adverbs,35
auctor -ōris m.,auctor,"originator, founder",Noun: 3rd Declension,Writing/Poetry,546
auctōritās -ātis f.,auctoritas,"influence, clout, authority",Noun: 3rd Declension,Social Life,898
audāx audācis,audax,"bold, daring; reckless",Adjective: 3rd Declension,Personality Traits/Characteristics,876
audeō audēre ausus sum,audeo,"dare, be eager",Verb: 2nd Conjugation,Personality Traits/Characteristics,270
audiō -īre -īvī/-iī -ītum,audio,"hear, listen to",Verb: 4th Conjugation,Other Senses,165
auferō auferre abstulī ablātum,aufero,take away,Verb: Irregular,Verbs of Transport,556
augeō augēre auxī auctum,augeo,increase,Verb: 2nd Conjugation,Making/Doing,709
avis -is f.,avis,bird,Noun: 3rd Declension,Animals/Plants,855
aura -ae f.,aura,breeze,Noun: 1st Declension,Air and Fire,420
aureus -a -um,aureus,golden; splendid,Adjective: 1st and 2nd Declension,Business/Money,691
auris -is f.,auris,ear,Noun: 3rd Declension,The Body,366
aurum -ī n.,aurum,gold,Noun: 2nd Declension,Business/Money,303
aut,aut,or,Conjunction,Conjunctions/Adverbs,24
autem,autem,"moreover, but, however",Conjunction,Conjunctions/Adverbs,123
auxilium -ī n.,auxilium,"support, assistance; (pl.) auxiliary forces",Noun: 2nd Declension,War and Peace,543
barbarus -ī m.,barbarus,"foreigner, barbarian",Noun: 2nd Declension,War and Peace,768
beātus -a -um,beatus,"happy, blessed, prosperous, fortunate",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,408
bellum -ī n.,bellum,war,Noun: 2nd Declension,War and Peace,86
bene,bene,well,Adverb,Personality Traits/Characteristics,235
beneficium -ī n.,beneficium,"service, kindness",Noun: 2nd Declension,Social Life,182
bonus -a -um,bonus,good,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,68
bōs bovis m.,bos,ox; gen. pl. boum,Noun: 3rd Declension,Animals/Plants,808
brevis -e,brevis,"short, shallow, brief",Adjective: 3rd Declension,Measurement,589
breviter,breviter,briefly,Adverb,Measurement,992
cadō cadere cecidī cāsum,cado,"fall, be killed",Verb: 3rd Conjugation -ō,Violence,210
caecus -a -um,caecus,"blind, unseeing; dark, obscure",Adjective: 1st and 2nd Declension,Vision,728
caedēs -is f.,caedes,"killing, slaughter",Noun: 3rd Declension,Violence,415
caedō caedere cecīdī caesum,caedo,"strike, kill, cut down",Verb: 3rd Conjugation -ō,Violence,612
caelestis -e,caelestis,"from or of heaven; caelestēs, the gods",Adjective: 3rd Declension,Air and Fire,960
caelum -ī n.,caelum,"sky, heavens",Noun: 2nd Declension,Air and Fire,117
campus -ī m.,campus,"plain, field",Noun: 2nd Declension,Earth and Water,391
candidus -a -um,candidus,"white, fair",Adjective: 1st and 2nd Declension,Vision,692
canis -is m./f.,canis,dog,Noun: 3rd Declension,Animals/Plants,687
canō canere cecinī cantum,cano,sing,Verb: 3rd Conjugation -ō,Writing/Poetry,389
capiō capere cēpī captum,capio,seize,Verb: 3rd Conjugation -iō,War and Peace,131
caput capitis n.,caput,head,Noun: 3rd Declension,The Body,124
careō -ēre -uī,careo,lack (+ abl.),Verb: 2nd Conjugation,Business/Money,572
carmen -inis n.,carmen,song,Noun: 3rd Declension,Writing/Poetry,254
cārus -a -um,carus,dear,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,462
castrum -ī n.,castrum,"fortress, (regularly plural, castra camp)",Noun: 2nd Declension,War and Peace,224
castus -a -um,castus,"pure, spotless, chaste",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,838
cāsus -ūs m.,casus,"a fall; chance, accident",Noun: 4th Declension,Violence,344
caveō cavēre cāvī cautum,caveo,"be on guard, beware",Verb: 2nd Conjugation,Violence,941
causa -ae f.,causa,"cause, reason; causā + preceding genitive, for the sake of",Noun: 1st Declension,Speech/Oratory,107
cēdō cēdere cessī cessum,cedo,"go, move; yield",Verb: 3rd Conjugation -ō,War and Peace,304
celebrō -āre,celebro,"frequent, throng, crowd",Verb: 1st Conjugation,The City,893
celer -is -e,celer,swift,Adjective: 3rd Declension,Time,745
celeriter,celeriter,quickly,Adverb,Time,967
cēnseō cēnsēre cēnsuī cēnsum,censeo,"assess, rate; think, decide",Verb: 2nd Conjugation,Education/Knowledge,928
centum,centum,one hundred,Adjective: Numeral,Measurement,730
cernō cernere crēvī crētum,cerno,"discern, separate",Verb: 3rd Conjugation -ō,Education/Knowledge,655
certē,certe,"certainly, surely",Adverb,Measurement,601
certō -āre,certo,"decide by contest; fight, compete, vie",Verb: 1st Conjugation,Athletics,864
certus -a -um,certus,"sure, fixed",Adjective: 1st and 2nd Declension,Measurement,285
cēterum,ceterum,"for the rest, in addition, however that may be",Adverb,Pronouns/Interrogatives,571
cēterus -a -um,ceterus,"the other, the others, the rest",Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,596
cibus -ī m.,cibus,food,Noun: 2nd Declension,Life and Being,863
cingō cingere cīnxī cīnctum,cingo,"encircle, surround, gird",Verb: 3rd Conjugation -ō,War and Peace,814
cinis cineris m./f.,cinis,"ashes, embers",Noun: 3rd Declension,Air and Fire,779
circā,circa,around (adv. and prep. +acc.),Preposition,Place,735
citus -a -um,citus,swift; citō swiftly,Adjective: 1st and 2nd Declension,Time,590
cīvis -is m./f.,civis,citizen,Noun: 3rd Declension,The City,471
cīvitās -ātis f.,civitas,"citizenship, state",Noun: 3rd Declension,The City,346
clāmor -ōris m.,clamor,"outcry, shout",Noun: 3rd Declension,Speech/Oratory,605
clārus -a -um,clarus,"clear, distinguished",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,395
classis -is f.,classis,"class, division, fleet",Noun: 3rd Declension,War and Peace,505
claudō claudere clausī clausum,claudo,"close, shut",Verb: 3rd Conjugation -ō,The House,392
coepī coepisse coeptus,coepi,begin,Verb: Irregular,Time,312
cōgitō -āre,cogito,"think, reflect",Verb: 1st Conjugation,Education/Knowledge,515
cōgnōscō -gnōscere -gnōvī -gnitum,cognosco,"learn, understand",Verb: 3rd Conjugation -ō,Education/Knowledge,339
cōgō cōgere coēgī coāctum,cogo,drive together; compel,Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,250
cohors cohortis f.,cohors,"cohort, band, troop",Noun: 3rd Declension,War and Peace,666
colligō -ere -lēgī -lēctum,colligo,"gather together, collect",Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,820
colō colere coluī cultum,colo,"inhabit, cultivate",Verb: 3rd Conjugation -ō,Animals/Plants,333
color -ōris m.,color,color,Noun: 3rd Declension,Vision,725
coma -ae f.,coma,"hair, tresses",Noun: 1st Declension,The Body,405
comes comitis m./f.,comes,"companion, comrade; attendant, follower",Noun: 3rd Declension,Social Life,448
committō -mittere -mīsī -missum,committo,"join, entrust to (+ dat.); perform, do",Verb: 3rd Conjugation -ō,Social Life,608
commūnis -e,communis,"common, general",Adjective: 3rd Declension,The City,660
comparō -āre,comparo,"get ready, provide; compare",Verb: 1st Conjugation,Business/Money,890
compōnō -pōnere posuī positum,compono,"build, construct, arrange",Verb: 3rd Conjugation -ō,Making/Doing,443
concēdō -cēdere -cessī -cessum,concedo,"yield, withdraw",Verb: 3rd Conjugation -ō,War and Peace,663
condīciō -ōnis f.,condicio,"agreement, condition",Noun: 3rd Declension,Business/Money,920
condō -dere -didī -ditum,condo,"build, found; store up; hide, conceal",Verb: 3rd Conjugation -ō,The City,540
cōnferō cōnferre contulī collātum,confero,"collect, bring to",Verb: Irregular,Verbs of Transport,645
cōnficiō -ficere -fēcī -fectum,conficio,"complete, accomplish; destroy, kill, consume",Verb: 3rd Conjugation -iō,Violence,894
cōnfiteor cōnfitērī cōnfessus sum,confiteor,"admit (a fact), confess (a crime); reveal, disclose",Verb: Deponent,Justice,972
coniunx coniugis m./f.,coniunx,"spouse, husband, wife",Noun: 3rd Declension,The Household,218
cōnor cōnārī cōnātus sum,conor,"try, attempt",Verb: Deponent,Making/Doing,905
cōnsequor -sequī -secūtus sum,consequor,"follow up, overtake, attain",Verb: Deponent,Motion,917
cōnsilium -ī n.,consilium,"plan; council, group of advisors",Noun: 2nd Declension,The City,217
cōnsistō -sistere -stitī,consisto,"take position; consist in, be composed of",Verb: 3rd Conjugation -ō,Speech/Oratory,780
cōnstituō -stituere -stituī -stitūtum,constituo,"establish, put together",Verb: 3rd Conjugation -ō,Making/Doing,652
cōnstō -stāre -stitī,consto,"agree; constat, it is established that (+ acc. and infin.)",Verb: 1st Conjugation,Speech/Oratory,731
cōnsuētūdo -inis f.,consuetudo,"custom, habit",Noun: 3rd Declension,Personality Traits/Characteristics,954
cōnsul -ulis m.,consul,consul,Noun: 3rd Declension,The City,321
cōnsulō -sulere -suluī -sultum,consulo,"consult, plan (+ acc.); consider the interests of (+dat)",Verb: 3rd Conjugation -ō,The City,757
cōnsūmō -sūmere -sūmpsī -sūmptum,consumo,"to use up, consume",Verb: 3rd Conjugation -ō,Life and Being,869
contemnō -temnere -tempsī -temptum,contemno,"despise, scorn, disdain",Verb: 3rd Conjugation -ō,Emotions,615
contineō -tinēre -tinuī -tentum,contineo,"contain, restrain",Verb: 2nd Conjugation,Verbs of Compelling/Directing,804
contingō -tingere -tigī -tactum,contingo,"touch, be contiguous to",Verb: 3rd Conjugation -ō,Place,494
contrā,contra,"against, opposite (adv. and prep. +acc.)",Preposition,Place,271
conveniō -venīre -vēnī -ventum,convenio,"assemble, meet; agree",Verb: 4th Conjugation,Social Life,698
convertō -vertere -vertī -versum,converto,"turn about, turn, change",Verb: 3rd Conjugation -ō,Motion,834
convīvium -iī n.,convivium,"banquet, feast",Noun: 2nd Declension,Social Life,921
cōpia -ae f.,copia,abundance; (pl.) troops,Noun: 1st Declension,War and Peace,331
cor cordis n.,cor,"heart; cordī est, it is pleasing to (+ dat.)",Noun: 3rd Declension,The Body,795
cornu -ūs n.,cornu,horn,Noun: 4th Declension,Animals/Plants,591
corpus corporis n.,corpus,body,Noun: 3rd Declension,The Body,75
corrumpō -rumpere -rūpī -ruptum,corrumpo,"break up, destroy, ruin",Verb: 3rd Conjugation -ō,Violence,870
crēdō crēdere crēdidī crēditum,credo,believe,Verb: 3rd Conjugation -ō,Education/Knowledge,109
creō -āre,creo,"produce, create; elect, choose",Verb: 1st Conjugation,Making/Doing,978
crēscō crēscere crēvī crētum,cresco,"grow, increase",Verb: 3rd Conjugation -ō,Animals/Plants,609
crīmen -inis n.,crimen,"verdict, accusation",Noun: 3rd Declension,Justice,475
culpa -ae f.,culpa,"guilt, fault, blame",Noun: 1st Declension,Justice,769
cum,cum,"with (prep. + abl.); when, since, although (conjunction + subj.)",Preposition,Conjunctions/Adverbs,10
cūnctus -a -um,cunctus,entire all together,Adjective: 1st and 2nd Declension,Measurement,292
cupīdō -inis f.,cupido,"desire, eagerness, craving",Noun: 3rd Declension,Love,906
cupiō -ere -īvī -ītum,cupio,desire,Verb: 3rd Conjugation -iō,Love,441
cūr,cur,why?,Adverb,Pronouns/Interrogatives,404
cūra -ae f.,cura,"care, concern",Noun: 1st Declension,Love,186
cūrō -āre,curo,"watch over, look after, care for (+ acc.)",Verb: 1st Conjugation,Love,743
currō currere cucurrī cursum,curro,run,Verb: 3rd Conjugation -ō,Athletics,562
currus -ūs m.,currus,chariot,Noun: 4th Declension,Athletics,491
cursus -ūs m.,cursus,"course, advance",Noun: 4th Declension,Athletics,351
custōs custōdis m.,custos,guardian,Noun: 3rd Declension,The Household,622
damnō -āre,damno,condemn,Verb: 1st Conjugation,Justice,751
damnum -ī n.,damnum,"damage, injury",Noun: 2nd Declension,Violence,926
dē,de,"down from, about, concerning (+ abl.)",Preposition,Place,46
dēbeō dēbēre dēbuī dēbitum,debeo,"owe, be obliged",Verb: 2nd Conjugation,Business/Money,155
decem,decem,ten,Adjective: Numeral,Measurement,914
dēcernō -cernere -crēvī -crētum,decerno,"determine, decide",Verb: 3rd Conjugation -ō,Education/Knowledge,800
decet decēre decuīt,decet,"it is right, proper, fitting (+ acc. + infin.)",Verb: Impersonal,Personality Traits/Characteristics,718
decus decoris n.,decus,"beauty, grace; ornament, glory, honor",Noun: 3rd Declension,Personality Traits/Characteristics,548
dēdūcō -dūcere -dūxī -ductum,deduco,"launch, lead away",Verb: 3rd Conjugation -ō,Travel,661
dēfendō -fendere -fendī -fēnsum,defendo,"defend, ward off",Verb: 3rd Conjugation -ō,War and Peace,653
dēferō -ferre -tulī -lātum,defero,"carry away, report",Verb: Irregular,Verbs of Transport,805
deficiō -ficere -fēcī -fectum,deficio,"fail, give out; revolt from",Verb: 3rd Conjugation -iō,War and Peace,676
deinde/dein,deinde/dein,"then, next",Adverb,Time,150
dēnique,denique,finally,Adverb,Time,796
dēscendō -scendere -scendī -scēnsum,descendo,"climb down, descend",Verb: 3rd Conjugation -ō,Travel,802
dēserō -ere dēseruī dēsertum,desero,"leave, desert, abandon",Verb: 3rd Conjugation -ō,Motion,544
dēsīderō -āre,desidero,"long for, desire greatly",Verb: 1st Conjugation,Love,892
dēsinō -sinere -siī -situm,desino,"leave off, cease",Verb: 3rd Conjugation -ō,Motion,624
dēsum -esse -fuī,desum,be lacking,Verb: Irregular,Business/Money,463
deus -ī m.; dea -ae f.,deus,god; goddess,Noun: 2nd Declension,Religion,42
dexter -tra -trum,dexter,right; dextera -ae f.: right hand,Adjective: 1st and 2nd Declension,Place,260
dīcō dīcere dīxī dictum,dico,"say; causam dīcere, plead a case; diem dīcere, appoint a day",Verb: 3rd Conjugation -ō,Speech/Oratory,33
diēs diēī m./f.,dies,day,Noun: 5th Declension,Lengths of Time,54
differō differre distulī dīlātum,differo,"scatter; publish, divulge; differ; defer, postpone",Verb: Irregular,Making/Doing,880
difficilis -e,difficilis,"not easy, hard, difficult",Adjective: 3rd Declension,Personality Traits/Characteristics,861
dīgnitās -ātis f.,dignitas,"worth, reputation, honor",Noun: 3rd Declension,Personality Traits/Characteristics,956
dīgnus -a -um,dignus,worthy,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,291
dīligō -ligere -lēxī -lēctum,diligo,"choose, cherish, love",Verb: 3rd Conjugation -ō,Love,973
dīmittō -mittere -mīsī -missum,dimitto,send away,Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,777
discēdō -ere -cessī -cessum,discedo,"go away, depart",Verb: 3rd Conjugation -ō,Travel,726
disciplīna -ae f.,disciplina,"training, instruction; learning, discipline",Noun: 1st Declension,Education/Knowledge,982
discō -ere didicī,disco,learn,Verb: 3rd Conjugation -ō,Education/Knowledge,465
diū:,diu:,for a long time,Adverb,Time,361
dīversus -a -um,diversus,"different, diverse",Adjective: 1st and 2nd Declension,Other Senses,641
dīves dīvitis,dives,"rich (poet. dīs, dītis)",Adjective: 3rd Declension,Business/Money,564
dīvidō -ere dīvīsī dīvīsum,divido,"divide, separate",Verb: 3rd Conjugation -ō,Making/Doing,628
dīvitiae -ārum f. pl.,divitiae,"riches, wealth",Noun: 1st Declension,Business/Money,712
dīvus -a -um,divus,"divine, godlike; (as subst.) a god",Adjective: 1st and 2nd Declension,Religion,962
dō dare dedī datum,do,give,Verb: 1st Conjugation,Social Life,28
doceō -ēre -uī doctum,doceo,teach,Verb: 2nd Conjugation,Education/Knowledge,393
doleō -ēre doluī,doleo,"feel pain or grief, grieve",Verb: 2nd Conjugation,Emotions,785
dolor -ōris m.,dolor,"pain, grief",Noun: 3rd Declension,Emotions,193
dolus -ī m.,dolus,"artifice, device, trick",Noun: 2nd Declension,Deception,701
dominus -ī m.; domina -ae f.,dominus,"household master, lord; mistress",Noun: 2nd Declension,The Household,241
domus -ūs f.,domus,"house, home",Noun: 4th Declension,The House,73
dōnec,donec,until,Conjunction,Time,771
dōnō -āre,dono,present with a gift (+ acc. of person and abl. of thing),Verb: 1st Conjugation,Social Life,606
dōnum -ī n.,donum,"gift, present",Noun: 2nd Declension,Social Life,476
dormiō -īre,dormio,sleep,Verb: 4th Conjugation,Life and Being,975
dubitō -āre,dubito,"hesitate, doubt",Verb: 1st Conjugation,Education/Knowledge,521
dubius -a -um,dubius,"doubtful; (as subst.) a doubt; sine dubiō, without a doubt, certainly",Adjective: 1st and 2nd Declension,Deception,528
dūcō dūcere dūxī ductum,duco,"lead; uxōrem dūcere, marry",Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,133
dulcis -e,dulcis,sweet,Adjective: 3rd Declension,Other Senses,383
dum,dum,while (+ indic.); until (+ subj.); provided that (+ subj.),Conjunction,Time,103
duo duae duo,duo,two,Adjective: Numeral,Measurement,221
dūrus -a -um,durus,"hard, tough, harsh",Adjective: 1st and 2nd Declension,Other Senses,249
dux ducis m./f.,dux,"leader, general",Noun: 3rd Declension,War and Peace,239
ecce,ecce,behold!,Adverb,Vision,643
ēdīcō -dīcere -dīxī -dictum,edico,declare,Verb: 3rd Conjugation -ō,Speech/Oratory,996
ēdō ēdere ēdidī ēditum,edo,"put forth, state, explain",Verb: 3rd Conjugation -ō,Speech/Oratory,688
ēdūcō -dūcere -dūxī -ductum,educo,lead forth,Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,935
efficiō -ficere -fēcī -fectum,efficio,"bring about, complete; render (+ ut + subj.)",Verb: 3rd Conjugation -iō,Making/Doing,573
effundō -fundere -fūdī -fūsum,effundo,pour out,Verb: 3rd Conjugation -ō,Earth and Water,719
ego meī mihi mē,ego,"I, me",Pronoun,Pronouns/Interrogatives,11
ēgredior ēgredī ēgressus sum,egredior,"stride out, depart, disembark from (+ abl.)",Verb: Deponent,Travel,912
ēgregius -a -um,egregius,"distinguished, uncommon",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,860
ēligō ēligere ēlēgī ēlēctum,eligo,"pick out, select",Verb: 3rd Conjugation -ō,The City,942
enim,enim,"for, indeed",Conjunction,Pronouns/Interrogatives,57
eō īre iī/īvī itum,eo,go,Verb: Irregular,Motion,97
eō,eo,"(adv.) there, to that place",Adverb,Place,470
epistula -ae f.,epistula,letter,Noun: 1st Declension,Writing/Poetry,951
eques equitis m.,eques,"horseman, knight",Noun: 3rd Declension,War and Peace,296
equus -ī m.,equus,horse,Noun: 2nd Declension,Animals/Plants,248
ergō,ergo,therefore,Conjunction,Conjunctions/Adverbs,134
ēripiō -ripere -ripuī -reptum,eripio,"snatch away, rescue, save",Verb: 3rd Conjugation -iō,Verbs of Transport,349
errō -āre,erro,"go astray, wander",Verb: 1st Conjugation,Travel,402
error -ōris m.,error,"wandering; error, mistake",Noun: 3rd Declension,Travel,832
et,et,and,Conjunction,Conjunctions/Adverbs,1
etiam,etiam,"also, even",Adverb,Conjunctions/Adverbs,67
"ex, ē",ex,"out of, from (+ abl.)",Preposition,Place,26
excipiō -cipere -cēpī -ceptum,excipio,take out,Verb: 3rd Conjugation -iō,Verbs of Transport,394
exemplum -ī n.,exemplum,"example, sample, copy",Noun: 2nd Declension,Speech/Oratory,519
exeō -īre -iī -itum,exeo,go forth,Verb: Irregular,Motion,597
exerceō -ercēre -ercuī -ercitum,exerceo,"train, exercise, carry on",Verb: 2nd Conjugation,Athletics,576
exercitus -ūs m.,exercitus,army,Noun: 4th Declension,War and Peace,267
exigō -igere -ēgī -āctum,exigo,drive out; collect,Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,500
exīstimō -āre,existimo,"think, believe",Verb: 1st Conjugation,Education/Knowledge,613
experior -perīrī -pertus sum,experior,"try thoroughly, test, experience",Verb: Deponent,Education/Knowledge,713
exsilium -ī n.,exsilium,"exile, banishment",Noun: 2nd Declension,Travel,794
exspectō -āre,exspecto,"watch, wait, expect",Verb: 1st Conjugation,Vision,442
extrēmus -a -um,extremus,"farthest, situated at the end or tip, extreme",Adjective: 1st and 2nd Declension,Geography,385
fābula -ae f.,fabula,"account, tale, story",Noun: 1st Declension,Writing/Poetry,966
faciēs -ēī f.,facies,"form, appearance",Noun: 5th Declension,Vision,479
facilis -e,facilis,easy,Adjective: 3rd Declension,Personality Traits/Characteristics,451
facinus facinoris n.,facinus,"deed, crime",Noun: 3rd Declension,Justice,646
faciō facere fēcī factum,facio,"do, make",Verb: 3rd Conjugation -iō,Making/Doing,32
factum -ī n.,factum,"deed, accomplishment",Noun: 2nd Declension,Making/Doing,611
fallō fallere fefellī falsum,fallo,deceive,Verb: 3rd Conjugation -ō,Deception,503
falsus -a -um,falsus,"deceptive, false",Adjective: 1st and 2nd Declension,Deception,633
fāma -ae f.,fama,"rumor, fame",Noun: 1st Declension,Speech/Oratory,278
famēs -is f.,fames,"hunger, famine",Noun: 3rd Declension,Life and Being,828
familia -ae f.,familia,"household, family",Noun: 1st Declension,The Household,943
